horizon_min,model,lam_policy,theta,slippage,scope,n_decisions,n_matched,n_gated,n_fillable,pass_rate,unfillable_rate,gross_mean,entry_cost_markout_mean,entry_cost_markout_median,roundtrip_touch_net_mean,hit_rate,sum_entry_markout
5,tcn,wf,2.0,0.01,in_scope,741221,688678,63228,62502,0.08530249412793216,0.011482254697286013,0.0015612602001056075,-0.015421955846250057,-0.014407733455300331,-0.023099709302186966,0.2060414066749864,-963.903076171875
5,tcn,wf,1.0,0.0,out_of_scope,1291344,1291302,552789,552596,0.42807261271977104,0.0003491386406024722,0.0011406708508729935,-0.011299294419586658,-0.008094045333564281,-0.026043545454740524,0.3561969322977365,-6243.94482421875
5,tcn,wf,1.0,0.005,out_of_scope,1291344,1291302,370117,369964,0.28661379152263067,0.0004133827951701759,0.0013371024979278445,-0.016971299424767494,-0.013202248141169548,-0.032629337161779404,0.2895768236909537,-6278.76953125
5,tcn,wf,1.0,0.01,out_of_scope,1291344,1291302,258133,258012,0.19989483824604443,0.0004687506053081164,0.0015648629050701857,-0.02259988524019718,-0.018236251547932625,-0.03918709605932236,0.2425274793420461,-5831.04150390625
5,tcn,wf,1.5,0.0,out_of_scope,1291344,1291302,366008,365870,0.2834318353591297,0.00037704093899586894,0.0014263592893257737,-0.01051322277635336,-0.007265848573297262,-0.024884898215532303,0.36236368108891137,-3846.472900390625
5,tcn,wf,1.5,0.005,out_of_scope,1291344,1291302,249115,249011,0.19291141632283884,0.0004174778716656966,0.0016449972754344344,-0.016220679506659508,-0.012375002726912498,-0.03159164637327194,0.2915453534181221,-4039.12744140625
5,tcn,wf,1.5,0.01,out_of_scope,1291344,1291302,180063,179982,0.1394384455265212,0.000449842555105713,0.0018098183209076524,-0.021870354190468788,-0.017404239624738693,-0.03814414516091347,0.2435688013245769,-3936.27001953125
5,tcn,wf,2.0,0.0,out_of_scope,1291344,1291302,251652,251566,0.19487603612979965,0.0003417417703813202,0.0016306756297126412,-0.009949604980647564,-0.00667020445689559,-0.024065880104899406,0.3668540263787634,-2502.982421875
5,tcn,wf,2.0,0.005,out_of_scope,1291344,1291302,177341,177276,0.13733056412543831,0.000366525507355885,0.0017613405361771584,-0.015722893178462982,-0.01179618388414383,-0.030796563252806664,0.29250998443105664,-2787.29150390625
5,tcn,wf,2.0,0.01,out_of_scope,1291344,1291302,132234,132189,0.10240028993049102,0.0003403058214982531,0.001851203734986484,-0.02137705311179161,-0.01683535985648632,-0.03728378191590309,0.24303837686948232,-2825.811279296875
15,ridge,raw,1.0,0.0,in_scope,721475,671146,517882,509946,0.7178100419279947,0.015323954105375355,0.0033443933352828026,-0.0030108673963695765,-0.0033719255588948727,-0.009795194491744041,0.4157342149953132,-1535.3797607421875
15,ridge,raw,1.0,0.005,in_scope,721475,671146,401672,396277,0.5567372396825947,0.01343135692804079,0.003934377804398537,-0.007647860795259476,-0.008079546503722668,-0.014730609022080898,0.3439563739505447,-3030.67138671875
15,ridge,raw,1.0,0.01,in_scope,721475,671146,314135,310422,0.4354066322464396,0.011819759020803159,0.004535974003374577,-0.012294775806367397,-0.012768473476171494,-0.0196980033069849,0.30397652228257016,-3816.56884765625
15,ridge,raw,1.5,0.0,in_scope,721475,671146,449798,443275,0.623442253716345,0.014502065371566793,0.0036775709595531225,-0.002696643816307187,-0.003196452744305134,-0.009568111971020699,0.4245220235745305,-1195.354736328125
15,ridge,raw,1.5,0.005,in_scope,721475,671146,348789,344332,0.4834387885928133,0.012778499321939625,0.0043046558275818825,-0.007295703981071711,-0.007886750623583794,-0.014473543502390385,0.3554389368400265,-2512.144287109375
15,ridge,raw,1.5,0.01,in_scope,721475,671146,273307,270196,0.3788170068262934,0.01138280395306377,0.004872016608715057,-0.011961614713072777,-0.012564340606331825,-0.019450843334197998,0.31355016358495313,-3231.98046875
15,ridge,raw,2.0,0.0,in_scope,721475,671146,389948,384549,0.5404871963685506,0.013845435801696636,0.004027321934700012,-0.0023665311746299267,-0.003003582824021578,-0.00932841282337904,0.4331099547781947,-910.0471801757812
15,ridge,raw,2.0,0.005,in_scope,721475,671146,302983,299269,0.41994940919643786,0.012258113491516025,0.004630782175809145,-0.006978186778724194,-0.007683939300477505,-0.014243273995816708,0.3651163334658785,-2088.35498046875
15,ridge,raw,2.0,0.01,in_scope,721475,671146,237582,234983,0.32930039155895907,0.010939380929531698,0.005190079566091299,-0.011639796197414398,-0.012360131368041039,-0.019201533868908882,0.32172540141201705,-2735.154296875
15,ridge,raw,1.0,0.0,out_of_scope,1256198,1256166,1077447,1077039,0.8577047567342091,0.0003786729184823012,0.002284505870193243,-0.011206365190446377,-0.007966369390487671,-0.02731819450855255,0.4234498472200171,-12069.6923828125
